Date,Open,High,Low,Close,Adj Close,Volume
2021-04-29,133.199997,133.850006,130.300003,130.500000,130.500000,1014411
2021-04-30,129.800003,130.500000,127.150002,127.900002,127.900002,1145901
2021-05-03,124.949997,127.000000,123.699997,125.550003,125.550003,2132135
2021-05-04,126.800003,128.800003,125.250000,125.800003,125.800003,1332081
2021-05-05,126.849998,128.000000,125.750000,126.250000,126.250000,1032862
2021-05-06,126.000000,132.399994,123.500000,131.449997,131.449997,2155699
2021-05-07,132.199997,135.000000,131.100006,134.550003,134.550003,3160354
2021-05-10,135.000000,142.500000,134.649994,142.050003,142.050003,9351960
2021-05-11,138.250000,151.199997,138.250000,146.949997,146.949997,10851717
2021-05-12,147.800003,153.949997,145.100006,147.500000,147.500000,10008607
2021-05-14,153.000000,154.000000,145.300003,147.649994,147.649994,7191061
2021-05-17,150.000000,152.399994,148.000000,151.000000,151.000000,5369092
2021-05-18,152.600006,157.899994,151.649994,153.800003,153.800003,8807745
2021-05-19,145.000000,151.899994,144.550003,149.300003,149.300003,11455453
2021-05-20,148.550003,150.399994,144.100006,145.149994,145.149994,3404104
2021-05-21,145.649994,148.800003,145.350006,147.500000,147.500000,2744802
2021-05-24,148.550003,149.500000,146.600006,148.600006,148.600006,2124303
2021-05-25,149.199997,152.000000,148.750000,149.449997,149.449997,3151681
2021-05-26,150.000000,152.750000,146.500000,147.050003,147.050003,2493437
2021-05-27,148.399994,153.649994,148.050003,152.199997,152.199997,4596711
2021-05-28,153.399994,153.649994,148.699997,150.600006,150.600006,1813275
2021-05-31,150.250000,152.399994,147.199997,150.800003,150.800003,2074220
2021-06-01,151.750000,153.500000,142.300003,143.800003,143.800003,16553047
2021-06-02,144.399994,149.000000,144.199997,147.850006,147.850006,2228241
2021-06-03,149.000000,150.500000,148.000000,148.949997,148.949997,1641528
2021-06-04,149.000000,152.500000,148.149994,151.899994,151.899994,2671797
2021-06-07,153.500000,158.949997,152.750000,156.350006,156.350006,6063419
2021-06-08,157.000000,166.300003,153.149994,163.600006,163.600006,7389825
2021-06-09,165.949997,167.500000,157.000000,159.699997,159.699997,6712508
2021-06-10,160.000000,162.750000,159.699997,161.449997,161.449997,1370284
2021-06-11,161.350006,163.800003,159.800003,161.600006,161.600006,2132136
2021-06-14,161.750000,168.949997,155.100006,165.899994,165.899994,4702001
2021-06-15,166.899994,169.750000,164.000000,165.000000,165.000000,3818792
2021-06-16,163.000000,165.800003,161.149994,162.399994,162.399994,1642204
2021-06-17,160.550003,164.600006,159.100006,160.800003,160.800003,1832479
2021-06-18,161.600006,162.050003,151.000000,154.949997,154.949997,4346279
2021-06-21,151.399994,157.500000,150.100006,156.449997,156.449997,1820731
2021-06-22,157.699997,162.300003,157.500000,159.600006,159.600006,2832146
2021-06-23,160.250000,161.449997,156.000000,156.350006,156.350006,2567179
2021-06-24,156.100006,157.399994,154.600006,155.100006,155.100006,1376921
2021-06-25,155.699997,159.050003,154.300003,155.699997,155.699997,1657703
2021-06-28,156.350006,158.649994,154.300003,157.699997,157.699997,1845480
2021-06-29,158.399994,159.750000,155.350006,157.800003,157.800003,1936763
2021-06-30,157.649994,158.850006,154.800003,155.199997,155.199997,1367326
2021-07-01,155.500000,158.399994,155.000000,155.850006,155.850006,1860072
2021-07-02,156.649994,157.449997,154.250000,156.000000,156.000000,1482825
2021-07-05,157.149994,159.149994,155.550003,156.250000,156.250000,1815936
2021-07-06,157.000000,160.500000,141.300003,147.949997,147.949997,14865553
2021-07-07,146.149994,146.699997,141.600006,145.500000,145.500000,10130249
2021-07-08,146.000000,146.250000,140.500000,140.800003,140.800003,4509429
2021-07-09,140.149994,143.550003,139.899994,142.399994,142.399994,2812597
2021-07-12,143.699997,144.750000,141.050003,141.399994,141.399994,1192553
2021-07-13,142.500000,145.550003,142.500000,145.199997,145.199997,1611465
2021-07-14,145.649994,146.500000,143.500000,144.649994,144.649994,913962
2021-07-15,145.050003,146.000000,143.550003,144.800003,144.800003,997246
2021-07-16,144.850006,147.699997,144.300003,144.649994,144.649994,1264346
2021-07-19,143.899994,144.449997,140.600006,141.750000,141.750000,1673412
